review,sentiment
"Harvey Keital's best performance so far the new century. Very nicely photographed, a beautiful snap-shot of pre-Castro Cuba. The story revolves around the nephew of a local minor crime boss who develops a friendship with an American with Hollywood connections. It's really about the moment when a boy awakens to the fact that the small circle of people he knows actually live in a much larger, much more complex world that he doesn't yet understand.the script is strong and filled with humor, the direction is crisp. Over all, a really professional job that fits in well with the tradition of Latin American cinema. The one weakness is the decision to shoot in sync-sound English rather than Spanish - probably to improve sales in the US. Unfortunately, this just makes the film a little less convincing. But if you can see beyond this, you will find a heartfelt trip to another world. Recommended.",1
"Bela Lugosi as creepy insane scientist who uses orchids to woo brides in order to steal life essence for aged wife. The midget in this film is hilarious!! A lot of freaks, plus a lot of padding and no plot makes watching this film a nightmare. I loved how all the pieces fell together in the end in typical Hollywood fashion. The story never gets interesting, and you feel helpless as you watch.<br /><br />Usually I'd score bore flicks like this one low, but the midget added just enough creepiness and entertainent to gain a couple more points.",0
"OK this movie was by far worse then the first one and the first one sucked! The zombie make up was extremely fake! The acting is very poor! And it doesn't really follow the first one! While watching this I kept thinking wow the first one is a masterpiece compared to this. I would say catch it on TV, Don't spend your money on it! Its not the worst movie i've ever seen but its on the list. I started watching it last night and fell asleep so i watched it today and almost fell asleep again! The plot was pointless, I mean i get the fact that a small military group are sent on a mission to get the blood of the lead zombie and bring it back so they can use it to save lives and stop zombies but they made it where you wanted everyone to die. They made plenty of bad guys who really were just annoying. If you ask me this was a rip off of resident evil and not a good rip off either. The plot could have made it if the acting was good and if they actually made you feel scared to see whats behind the corner. With these zombies my grandma could have went in that building and survived! out of a 1-10 i give it a 2.",0
"Flavia(Florinda Bolkan of ""Don't Torture a Duckling"" fame)is locked away in a convent of carnal desires by her father.Tired of all of the sadism she sees around her(rape of a young woman in a pigsty,sexual cravings,horse castration)Flavia decides to run from the convent with her Jewish friend from the outside,Abraham.The two don't get very far before they are captured and then brought back to be tortured and forced to repent.After punishment she joins up with a band of Muslims called the Tarantulas,who had invaded the convent prior and leads a crusade that turns into nothing short of a bloody battle behind the convent walls.""Flavia the Heretic"" is a well-directed and fairly notorious piece of Italian nunsploitation.The film is slightly gruesome and sleazy at times.The acting is great and the characters are well-developed.Overall,""Flavia the Heretic"" is a genuinely moving and intelligent movie with plenty of nudity and gore.You can't go wrong with it.8 out of 10.",1
"Rather like Paul Newman and Steve McQueen with their racing car movies this has all the appearance of a ""jollies"" project for Robert Redford, as he gets to ski up hill and down dale in the Alpine sunshine.<br /><br />The story is as light as powdered snow with Redford's small-town boy David Chappellet (what kind of lead name is that?) who with his eyes on the prize of Olympic glory, gets up the nose of, in no particular order, his coach, father and team-mates. Women are a mere side-show in his insular world as evidenced by a fairly distasteful pick-up scene with an old girlfriend in his hometown and then his selfishly petulant pursuit of, heavens above, a free-thinking, independent woman, played by Camilla Sparv. The ski-ing sequences are fine with some good stunt-work involving numerous bumps and scrapes on the piste but their effectiveness is dimmed by our subsequent familiarity with top TV coverage of skiing events down to the present day. Plus I'm not convinced that the Winter Olympics has the same mass identification with the general public as the summer games so that when Redford eventually wins his gold medal in the final reel, I couldn't really be that excited for him one way or another.<br /><br />Of the actors, Redford, best profile forward, doesn't need to do much and indeed doesn't, while Gene Hackman does better with equally meagre material. Ms Sparv does well as the chief female interest well who treats Redford the way he's doubtless treated every other woman in his chauvinistic way.<br /><br />In truth though, there's a lack of dramatic tension throughout for which the action sequences don't fully compensate and you don't care a fig for any of the leading characters. One of those films where the actors probably enjoyed making it more than the viewers did watching it.",0
"Well where do I begin my story?? I went to this movie tonight with a few friends not knowing more than the Actors that were in it, and that it was supposed to be a horror movie.<br /><br />Well I figured out within the first 20 minutes, what a poor decision I had made going out seeing this movie. The Plot was crap, and so was the script. The lines were horrible to the point that people in the audience were laughing hysterically.<br /><br />The cast couldn't have been more plastic looking. Even some of the scenes seemed like they should have been made much quicker...like they dragged on for no particular reason. Very poor editing.<br /><br />All in all this movie was a giant waste of time and money. Boo.",0
"Mark Walhberg in a great role, idolises a rock star to the extent of knowing all his songs, imitating him to perfection, and dressing like him. When the opportunity comes for him to take over his ""idol's"" role in the band, he jumps at the opportunity. However the role of a rock star may not be what it is cracked up to be... and relationships can change .... This movie certainly struck me as having the theme of what you attain for may not be what you think it is once you get it. Overall a really good movie with great performances from all the cast as well as the two leads, Mark Walhberg and Jennifer Aniston. It did make me feel sad, especially when Emily, (Jennifer Aniston), met up with Chris in Seattle and saw the depths to what he had sunk. If anybody ever dreamed of being a rock star or a groupie they should watch this movie to see that the lifestyle, although glamourous for a while, is very lonely and ultimately not what you may want.",1
"This is a poor, poor movie. Full of clichés, unrealistic moments: punching the air in celebration after putting a fire out, never mind that someone's lost their home and possessions!!, announcing a pregnancy in a bar along with all your mates before telling you in private first, walking on the roof of a burning building for no apparent reason, the stereotypical funerals and strained relationships, the very dodgy, cheesy music at the end, the unrealistic treatment of the girl who was rescued from her apartment, the very unrealistic explosion from that same apartment!! Did they have a couple of oxygen tanks in the attic or something!!? Anyone with an ounce of wit can see that this movie was a joke. It's a pity, because firefighters do an awesome job, and they deserve to have a good movie made about what they do, but not at the expense of common sense.",0
"The SF premise isn't unique (although it pretty much was back then), but the focus is a completely different one than in other artificial reality films. Especially during the first part it is an elaborate crime picture, that uses the SF premise to tell an unusual crime story in which the forced detective tries to solve a mystery with the obstacle of vanishing characters and unhelpful witnesses who don't have to lie to be unhelpful. Instead of an unreliable narrator we have an unreliable world.<br /><br />In part two we follow the main character's struggle for sanity and it turns more into a psychological examination of a character in an extreme situation. He knows his very existence is nothing more than electrical impulses, how does he deal with this knowledge? He knows that there is a world that is more real than his, but he is trapped in an artificial world, a world where nobody can understand him. The problem of thinking of knowing something essential about the world that nobody else knows or wants to believe is a very real one that many of us can identify with. For me the film transports this hopelessness very well, with its dreary, artificial atmosphere which also supports the factual artificiality of the film's world.<br /><br />Other than 'The Matrix' or 'The Thirteenth Floor' it's little concerned with evoking a sense of awe for its artificial reality plot, instead it very much focuses on the psychological aspects. Philosophy is only in so far interesting in that certain philosophical concepts are essential in how they shape and alter the character's perception of the world.<br /><br />Arguably it is longer than it has to be (which isn't a problem if you are as captivated by it as I was) and part 2 runs pretty low on steam.",1
"Pretty bad PRC cheapie which I rarely bother to watch over again, and it's no wonder -- it's slow and creaky and dull as a butter knife. Mad doctor George Zucco is at it again, turning a dimwitted farmhand in overalls (Glenn Strange) into a wolf-man. Unfortunately, the makeup is virtually non-existent, consisting only of a beard and dimestore fangs for the most part. If it were not for Zucco and Strange's presence, along with the cute Anne Nagel, this would be completely unwatchable. Strange, who would go on to play Frankenstein's monster for Unuiversal in two years, does a Lenny impression from ""Of Mice and Men"", it seems.<br /><br />*1/2 (of Four)",0
"Absolutely one of the worst movies I've seen in a long time! It starts off badly and just deteriorates. Katherine Heigl is woefully miscast in a Lolita role and Leo Grillo manfully struggles with what is essentially a cardboard cutout character. The only cast-member with any enthusiasm is Tom Sizemore, who hams it up as a villain and goes completely overboard with his role. The script is dire, the acting horrible and it has plot holes big enough to drive a double-decker bus through! It is also the most sexist movie I have ever seen! Katherine Heigl's character is completely unsympathetic. She's seen as an evil, wanton seductress who lures the poor, innocent married man to cheat on his wife. It is implied throughout the movie that she's underage, and the message that accompanies that plot-strand just beggars belief! At the end, she isn't even able to redeem herself by shooting the man who's obviously (ha!) become demented with rage and guilt, but the script allows him to kill himself, thereby redeeming himself in the eyes of males everywhere. Horrible. Don't waste your time.",0
"The second attempt by a New York intellectual in less than 10 years to make a ""Swedish"" film - the first being Susan Sontag's ""Brother Carl"" (which was made in Sweden, with Swedish actors, no less!) The results? Oscar Wilde said it best, in reference to Dickens' ""The Old Curiosity Shop"": ""One would have to have a heart of stone not to laugh out loud at the death of Little Nell."" Pretty much the same thing here. ""Interiors"" is chock full of solemnly intoned howlers. (""I'm afraid of my anger."" Looking into the middle distance: ""I don't like who I'm becoming."") The directorial quotations (to use a polite term) from Bergman are close to parody. The incredibly self-involved family keep reminding us of how brilliant and talented they are, to the point of strangulation. (""I read a poem of yours the other day. It was in - I don't know - The New Yorker."" ""Oh. That was an old poem. I reworked it."") Far from not caring about these people, however, I found them quite hilarious. Much of the dialog is exactly like the funny stuff from Allen's earlier films - only he's directed his actors to play the lines straight. Having not cast himself in the movie, he has poor Mary Beth Hurt copy all of his thespian tics, intonations, and neurotic habits, turning her into an embarrassing surrogate (much like Kenneth Branagh in ""Celebrity"").<br /><br />The basic plot - dysfunctional family with quietly domineering mother - seems to be lifted more or less from Bergman's ""Winter Light,"" the basic family melodrama tricked up with a lot of existential angst. It all comes through in the shopworn visual/aural tricks: the deafening scratching of a pencil on paper, the towering surf that dwarfs the people walking on the beach. etc, etc.<br /><br />Allen's later ""serious"" films are less embarrassing, but also far less entertaining. I'll take ""Interiors."" Woody's rarely made a funnier movie.",0
"Talk about being boring!<br /><br />I got this expecting a fascinating insight into the life of the man who wrote the mythical Night on the Galactic Railroad. I expected to see crazy stories and hijinks of an eccentric man and to discover his inspirations for such bizarre material. Boy, was I wrong.<br /><br />Spring and Chaos is mostly boring with only sporadic moments of innovative animation. It's certainly nothing to write home about and nowhere near as good as NOTGR which is something that I suggest you watch instead. Leave this bore alone. If you absolutely MUST see then either rent it or find it somewhere cheap. Do not pay top dollar.",0
"It is pretty surreal what these flies can do... eh well... this is a cartoon, so anything can happen in it.<br /><br />At first I must tell you that I love animated movies. Unfortunately this year's repertoire is very weak. This cartoon is nothing but a list of flaws:<br /><br />1) I quoted the tag line. It suggests that this movie has great 3D effects. Well, I did not see any, at least not something special I never saw before.<br /><br />2) The ""flies"" in this movie look nothing like real flies. At least they could've make them black. But cyan flies, seriously? With giant heads and slim torsos?<br /><br />3) The story. I guess it was written for 6 year old kids. I could tell it in two sentences it is so over simplified.<br /><br />4) Excessive patriotism. For example: ""They are American files after all!"" Oh, give me a break.",0
"A very interesting addition to the Scandavian surrealistic collection. Recommended viewing for those who like their movies complicated. My interpretation of the 'strange' ending would be that Andreas' journey ends in Hell. He dislikes the bland consumer-led emptiness of purgatory; a sort of 'living' but not progressing, i.e. not getting anywhere - even the city's metro trains don't stop at the stations. It has a Metro system, like you should be able to travel, freedom, escape, but you can never actually board those trains. He is unable to reach fragrant, sensory heaven and winds up continuing his bus journey to its final destination. The old Norse version of Hell (Hades, NOT Hell the terrestrial city) isn't burning hot like the British version, its cold, freezing, the land of Niflheim (land of cold and mists). This appears to be where Andreas end up, having just failed to access Heaven through that tunnel.",1
"The story of a woman (Ann) on her death bed, her two daughters (Nina and Constance) and her thoughts about her past. The flashbacks are concerning a weekend where young Ann is in the wedding of her friend Lila. At the wedding she meets Harris who will impact her for the rest of her life. Through all the ups and downs of her professional and family life she remembers him as her true love. Her daughter Constance is older, more ""responsible,"" a mother of two and has things together. Nina jumps from boyfriend to boyfriend and job to job and is unsure of her direction in life.<br /><br />First of all the good. The period detail in the movie is great. The dresses, hair, cars, houses, etc. really put you in another time and place. And there is some very quality acting in the movie. Vanessa Redgrave is quite good at portraying the main character and her fragile mental state as her life comes to an end. Claire Danes is beautiful and does a great job as the main character when she was young (and she is an outstanding singer). Hugh Dancy brought a lot of life to the character of Lila's brother Buddy.<br /><br />Now for the bad, which unfortunately is everything else. Things constantly disrupt the story as it is being unfolded for us. The chemistry between young Ann and Buddy is great. They have fun and dance. Then... you are supposed to believe that she doesn't really like him more than a friend and that his pining only annoys her. And I thought the whole, ""he might be gay"" thing was out of the blue and didn't serve a purpose.<br /><br />Then we have Harris. The character acts wooden and creepy. Had this been another genre, you would have known that Harris was the serial killer from the get go. It is an unbelievable stretch to think that all these girls loved him so (but they do portray the other guys as pretty lame to try and help him out).<br /><br />And the grandest problem of all. Why don't Ann and Harris get together? They fall for each other. They have this great night of sex in an old dirty gardener's shack, come home to find out about Buddy's tragic end and then...<br /><br />Nothing.<br /><br />They meet up a few years later and get all misty eyed about each other and I couldn't help but wondering why. WHY? The movie doesn't let you know why they were forced to marry other people and so I had a hard time feeling sorry for them.<br /><br />The part of the story in the present is fairly boring. The cliché good daughter and the cliché bad daughter. Nina changes over the course of the movie but I am not sure why. I'm not sure what convinces her to change her life. There is a ""touching"" scene where the daughters are connecting that coincides with old Ann dreaming she's chasing a butterfly. It is really lame and embarrassing.<br /><br />""There are no mistakes"", Ann advises at us. The statement doesn't ring true with the story. And it doesn't ring true after seeing the movie and wishing they hadn't wasted the talent of such good actors.",0
"Even 15 years after the end of the Vietnam war ""Jacknife"" came not too late or was even superfluous. It's one of the few that try to deal with the second sad side of the war: The time after. Different from movies like ""Taxi driver"" or ""Rambo"" which use to present their main characters as broken heroes in a bad after war environment this movie allows the audience to face a different view on the Vietnam vets. Their development is shown very precisely before and especially after the war. The problems are obvious but in all this tragic there is always the feeling of some hope on the basis of love and friendship. ""Jacknife"" might be the quietest Vietnam movie ever but after almost 15 years this is really plausible and therefor justified. Moreover, it can make us believe that the war has not finished, yet; at least for some of us.<br /><br />The three main characters are amazing. De Niro has done one of his best jobs but Ed Harris is the star of this movie. Possibly,this was his best performance ever.",1
"The film listed here as having been made in 1980 is not the film which is available from Something Weird Video in their ""Driver's Ed Scare Films Vol. 5"". For one thing the 1980 version is in color. SWV has on this disc an earlier version (1972) of the film made in b&w for WLWT television Channel 5 in Cincinnati. Either way this film is notorious. However, unlike most other driver's ed films, this was intended for television broadcast and viewing by the general public. Thus the level of carnage has been ratcheted down. It's still a pretty grim exercise in exploitation of bloody death for a purported educational intent. I live in the Cincinnati area and I remember this thing being shown every year around prom time on Channel 5. If you're looking for one film that demonstrates the tone of this uniquely American film phenomenon, ""The Last Prom"" is pretty typical - morose, hyperbolic, extremely didactic, heavy on melodrama. Whether it really affected any teenager's driving at all is anyone's guess.",0
